ts,site_code,marker_name,operation,data_source,previous_name
2016-11-06 15:30:00,MSL,B,reposition,SMS,Nan
2016-04-13 12:00:00,MSL,C,mute,SMS,Nan
2016-04-27 11:30:00,MSL,C,mute,SMS,Nan
2016-04-13 07:06:00,MSL,C,reposition,DRS,Nan
2017-02-16 10:25:00,MSU,D,mute,SMS,Nan
2017-02-16 10:25:00,MSU,E,mute,SMS,Nan
2016-03-23 07:30:00,MSL,A,mute,DRS,Nan
2016-08-05 06:47:00,MSL,C,mute,DRS,Nan
2015-08-28 08:52:00,MSL,A,mute,SMS,Nan
2015-09-15 10:30:00,MSL,A,mute,SMS,Nan
2016-04-06 08:08:00,MSL,C,none,DRS,Nan
2015-09-17 11:00:00,MSL,A,none,DRS,Nan
2015-09-15 12:00:00,MSL,A,mute,SMS,Nan
2016-07-29 06:35:00,MSL,C,mute,DRS,Nan
2015-10-08 08:06:00,MSL,E,mute,DRS,Nan
2015-10-15 07:42:00,MSL,E,mute,DRS,Nan
2015-12-18 07:10:00,MSL,E,mute,DRS,Nan
2016-10-04 07:15:00,MSL,F,mute,DRS,Nan
2015-09-10 08:30:00,MSL,A,none,DRS,Nan
2015-08-19 08:00:00,MSL,D,mute,SMS,Nan
2015-09-15 09:20:00,MSL,D,mute,SMS,Nan
2016-02-05 12:00:00,MSL,D,mute,SMS,Nan
2015-09-15 07:00:00,MSL,F,mute,SMS,Nan
2015-09-15 09:20:00,MSL,F,mute,SMS,Nan
2015-09-15 10:30:00,MSL,F,reposition,SMS,Nan
2015-11-27 08:36:00,MSL,D,reposition,DRS,Nan
2015-08-21 08:00:00,MSL,E,mute,SMS,Nan
2015-10-22 08:33:00,MSL,C,mute,DRS,Nan
2016-01-26 12:00:00,MSL,D,mute,SMS,Nan
2016-02-02 12:00:00,MSL,D,reposition,SMS,Nan
2016-02-12 10:30:00,MSL,D,l2,SMS,Nan
2016-02-16 12:00:00,MSL,D,l3,SMS,Nan
2016-10-07 07:00:00,MSL,F,l2,SMS,Nan
2016-10-10 11:00:00,MSL,F,l3,SMS,Nan
2016-09-22 07:00:00,MSL,E,mute,SMS,Nan
2016-09-25 09:00:00,MSL,E,mute,SMS,Nan
2015-06-25 08:15:00,MSL,A,l2,DRS,Nan
2016-01-26 12:00:00,MSL,C,l3,SMS,Nan
2016-01-26 12:00:00,MSL,B,l3,SMS,Nan
2015-07-02 06:54:00,MSL,A,rename,DRS,Liki A
2015-07-03 06:54:00,MSL,B,rename,DRS,Liki B
2015-07-04 06:54:00,MSL,C,rename,DRS,Liki C
2015-07-05 06:54:00,MSL,D,rename,DRS,Liki D
2015-07-06 06:54:00,MSL,E,rename,DRS,Liki E
2015-07-07 06:54:00,MSL,F,rename,DRS,Liki F
